theta,t,omega
-0.15457400679588318,0.0,0.8
-0.1730203926563263,0.10101009905338287,0.8
-0.191944420337677,0.20202019810676575,0.8
-0.32547229528427124,0.3030303120613098,0.8
-0.16383160650730133,0.4040403962135315,0.8
-0.23229996860027313,0.5050504803657532,0.8
-0.14190120995044708,0.6060606241226196,0.8
-0.18672293424606323,0.7070707082748413,0.8
-0.10969267785549164,0.808080792427063,0.8
0.044589828699827194,0.9090908765792847,0.8
-0.024675296619534492,1.0101009607315063,0.8
-0.045080751180648804,1.111111044883728,0.8
0.015141569077968597,1.2121212482452393,0.8
0.04538508132100105,1.313131332397461,0.8
0.051425911486148834,1.4141414165496826,0.8
0.13872915506362915,1.5151515007019043,0.8
0.18747591972351074,1.616161584854126,0.8
0.09618896245956421,1.7171716690063477,0.8
0.07245629280805588,1.8181817531585693,0.8
0.10734206438064575,1.919191837310791,0.8
0.03111594170331955,2.0202019214630127,0.8
0.10314756631851196,2.1212120056152344,0.8
0.06709777563810349,2.222222089767456,0.8
0.08769553154706955,2.3232321739196777,0.8
0.04421863704919815,2.4242424964904785,0.8
0.022878602147102356,2.5252525806427,0.8
-0.03127700090408325,2.626262664794922,0.8
-0.011528439819812775,2.7272727489471436,0.8
-0.10202200710773468,2.8282828330993652,0.8
-0.09552883356809616,2.929292917251587,0.8
-0.11187955737113953,3.0303030014038086,0.8
-0.052245333790779114,3.1313130855560303,0.8
-0.15465953946113586,3.232323169708252,0.8
-0.11367260664701462,3.3333332538604736,0.8
-0.06095154955983162,3.4343433380126953,0.8
0.06071137636899948,3.535353422164917,0.8
0.018804216757416725,3.6363635063171387,0.8
0.011974288150668144,3.7373735904693604,0.8
0.0799669697880745,3.838383674621582,0.8
0.05732307210564613,3.9393937587738037,0.8
0.048171378672122955,4.040403842926025,0.8
0.20322519540786743,4.141414165496826,0.8
0.13310027122497559,4.242424011230469,0.8
0.16592153906822205,4.3434343338012695,0.8
0.14556820690631866,4.444444179534912,0.8
0.32249417901039124,4.545454502105713,0.8
0.1550925225019455,4.6464643478393555,0.8
0.1861521452665329,4.747474670410156,0.8
0.1519516408443451,4.848484992980957,0.8
0.14557921886444092,4.9494948387146,0.8
0.15759560465812683,5.0505051612854,0.8
0.15039491653442383,5.151515007019043,0.8
0.06633912771940231,5.252525329589844,0.8
0.11433535814285278,5.3535356521606445,0.8
-0.023240739479660988,5.454545497894287,0.8
-0.056662000715732574,5.555555820465088,0.8
-0.126041978597641,5.6565656661987305,0.8
-0.08752737939357758,5.757575988769531,0.8
-0.12221959233283997,5.858585834503174,0.8
-0.11024285107851028,5.959596157073975,0.8
-0.16833080351352692,6.060606002807617,0.8
-0.084466852247715,6.161616325378418,0.8
-0.24266266822814941,6.262626647949219,0.8
-0.11438124626874924,6.363636493682861,0.8
-0.10496808588504791,6.464646339416504,0.8
-0.12202513217926025,6.565656661987305,0.8
-0.036162011325359344,6.6666669845581055,0.8
-0.09857901930809021,6.767676830291748,0.8
-0.0815514326095581,6.868686676025391,0.8
-0.08052486181259155,6.969696998596191,0.8
-0.09402571618556976,7.070707321166992,0.8
0.051835425198078156,7.171717166900635,0.8
0.007182132452726364,7.272727012634277,0.8
0.06728733330965042,7.373737335205078,0.8
0.06563108414411545,7.474747657775879,0.8
0.10132120549678802,7.5757575035095215,0.8
0.12077505141496658,7.676767826080322,0.8
0.06630279123783112,7.777777671813965,0.8
-0.011441729962825775,7.878787994384766,0.8
0.05598444491624832,7.979798316955566,0.8
0.08315560221672058,8.080808639526367,0.8
0.04972703009843826,8.181818008422852,0.8
-0.02061351388692856,8.282828330993652,0.8
-0.0064606815576553345,8.383838653564453,0.8
0.02893843501806259,8.484848022460938,0.8
-0.0009622145444154739,8.585858345031738,0.8
-0.0036908164620399475,8.686868667602539,0.8
-0.10511167347431183,8.78787899017334,0.8
-0.13957929611206055,8.88888931274414,0.8
-0.09634886682033539,8.989898681640625,0.8
-0.13054504990577698,9.090909004211426,0.8
-0.1673688441514969,9.191919326782227,0.8
-0.13994187116622925,9.292929649353027,0.8
-0.08706919848918915,9.393939018249512,0.8
-0.14212177693843842,9.494949340820312,0.8
-0.14255660772323608,9.595959663391113,0.8
-0.15646138787269592,9.696969985961914,0.8
-0.07586389034986496,9.797979354858398,0.8
-0.03543774038553238,9.8989896774292,0.8
0.009959854185581207,10.0,0.8
0.9377375245094299,0.0,0.8210526315789474
0.9052479267120361,0.10101009905338287,0.8210526315789474
0.8789367079734802,0.20202019810676575,0.8210526315789474
0.9206559062004089,0.3030303120613098,0.8210526315789474
0.9394113421440125,0.4040403962135315,0.8210526315789474
0.84334796667099,0.5050504803657532,0.8210526315789474
0.9163975119590759,0.6060606241226196,0.8210526315789474
0.8319864869117737,0.7070707082748413,0.8210526315789474
0.8808731436729431,0.808080792427063,0.8210526315789474
0.8147100210189819,0.9090908765792847,0.8210526315789474
0.7985507845878601,1.0101009607315063,0.8210526315789474
0.7405553460121155,1.111111044883728,0.8210526315789474
0.640855073928833,1.2121212482452393,0.8210526315789474
0.636201798915863,1.313131332397461,0.8210526315789474
0.5201663374900818,1.4141414165496826,0.8210526315789474
0.44430333375930786,1.5151515007019043,0.8210526315789474
0.379444420337677,1.616161584854126,0.8210526315789474
0.3784511387348175,1.7171716690063477,0.8210526315789474
0.23394432663917542,1.8181817531585693,0.8210526315789474
0.12987390160560608,1.919191837310791,0.8210526315789474
-0.020304236561059952,2.0202019214630127,0.8210526315789474
-0.11018571257591248,2.1212120056152344,0.8210526315789474
-0.2082081437110901,2.222222089767456,0.8210526315789474
